詞條	中文	音節	釋義	頁數	備註	轉寫者
Bóá	樹木、植物的種子、果實；魚、獸的肉	Bóá	all kinds of seed or fruit of a tree or plant; also the flesh of beasts and fishes. Ba-o, the dregs of native liquor. Also a person.	32		妤蓁_13-41
Bo-ái,	一個大啤酒杯	Bo-ái,	a tankard.	32		妤蓁_13-41
Bo-át o chaû	燃燒中的煤	Bo-át o chaû	live coal	32		妤蓁_13-41
Bobor o che,	甲蟲	Bobor o che,	a beetle.	32		妤蓁_13-41
Boch-ies	講述東西摔成碎片的用語	Boch-ies	a word used when anything falls to pieces; according to bittik, and gich, to fall to pieces.	33		妤蓁_13-41
Boddó	（本地人使用的）棍棒；其他工具	Boddó	the sticks and other instruments by which the native sreckon; from Pado, an abacus.	33		妤蓁_13-41
Boebos	長輩的通稱	Boebos	ancetors in general, grandfather, grand-mother, &c.	33		妤蓁_13-41
Boesjam	祖父	Boesjam	a grandfather.	33		妤蓁_13-41
Boesini	祖母	Boesini	a grandmother.	33		妤蓁_13-41
Boelossi	膀胱	Boelossi	the bladder.	33		妤蓁_13-41
Boésûm	天堂	Boésûm	heaven	33		妤蓁_13-41
Boe-tsina	扇子	Boe-tsina	a fan.	33		妤蓁_13-41
Bogh	身體 ；外皮；外殼	Bogh	the body ; also the skin of a man or beast before it is stripped off; also the outer bark or shell of anything: bach o adda, the husk of paddy with the grain inside; bach o bilpil, the skin of a plantain: boch o barron, the bark of a tree.	33		妤蓁_13-41
Bog o lullach	包皮	Bog o lullach	the foreskin, preputûm.	33		妤蓁_13-41
Bogh o macha	眼皮	Bogh o macha	the eyelid.	33		妤蓁_13-41
Bokbok	任何被塞滿的東西	Bokbok	anything stuffed, as Japanese cloaks, or old Flemish breeches: from this comes ribokbok, a stuffed coat.	33		妤蓁_13-41
Bokkir	喉嚨	Bokkir	the throat.	33		妤蓁_13-41
Bollabol	填充物	Bollabol	stuffing, such as that put in Japanese cloaks, cotton, &c.	33		妤蓁_13-41
Bon	鈍點	Bon	blunt at the point. Verb Mibonbon.	33		妤蓁_13-41
Boah	嘲諷用的字詞	Boah	a word of mockery, the noice of a musquet, also of a shock, or blow.	34		妤蓁_13-41
Bó	仁慈；同情	Bó	kindness, compassion; ellipa js bono chozies, there is no pity in his hart. From Mabo, yo compassionate.	34		妤蓁_13-41
Bo	深；遠離底部	Bo	deep, far from the bottom; bo-o to, deep water.	34		妤蓁_13-41
Boch-o	腐臭味	Boch-o	a stink; from Mabocho, rotten.	34		妤蓁_13-41
Bokkól	畸形人	Bokkól	a deformity of person, whereby people go' bent or double.	34		妤蓁_13-41
Bokkollen	（因為不堅固而）彎曲	Bokkollen	to go bent down through infirmity. Mabok kollen, mima, crooked.Paboh kollen, to make crooked.	34		妤蓁_13-41
Bonnao	從腹股溝到膝蓋或大腿	Bonnao	the member from the groin to the knee pan, the thigh.	34		妤蓁_13-41
Borboa	魚片；魚肉	Borboa	pieces of fish or flesh, cut up by the natives to picle or cook.	34		妤蓁_13-41
Bo-ri	骨頭上切下來的肉	Bo-ri	the flesh of the neck cut off from the bone.	34		妤蓁_13-41
Bonna	田地；地	Bonna	a field, all kinds of fields.	34		妤蓁_13-41
Bonn	狩獵場	Bonn	o ari barri battau, hunting ground.	34		妤蓁_13-41
Bonno tatáapan	耕地	Bonno tatáapan	tilled ground.	34		妤蓁_13-41
Bonnad	沙	Bonnad	sand.	34		妤蓁_13-41
Boot	自地面上架起的地板	Boot	a floor raised above the ground such as are seen in the native granaries, or before their doors, to prevent damp. Boot o hatta, a cage. Boot o baron, a plank.	34		妤蓁_13-41
Borrá,	安撫；安寧	Borrá,	to appease, to be at peace; boor' azies, allies: from Maborro, peace and Aborro, to pacify.	35		妤蓁_13-41
Borabor,	灰塵	Borabor,	dust: from Porpor, to raise the dust	35		妤蓁_13-41
Borrak,	大斑點	Borrak,	large spots, with which mer. are sometimes born. Also the stains with which drinkers soil their clothes.	35		妤蓁_13-41
Borrason,	發霉	Borrason,	verb binorrason, fut. inoborrason, g. borrasoa, to become mouldy, and spoiled: borrason a uppo, mouldy bread.	35		妤蓁_13-41
Borrere,	皮脂囊腫；粉瘤	Borrere,	a wen	35		妤蓁_13-41
Borró	（製作飛鏢用的）堅硬蘆葦	Borró	a sort of hard reed, with which the natives make darts.	35		妤蓁_13-41
Borrogh,	透射之物	Borrogh,	everything that projects above another. Maborroch mi, ma, verb.	35		妤蓁_13-41
Borroch o nót,	鼻子上的膿腫	Borroch o nót,	a boil on the nose.	35		妤蓁_13-41
Bórroch o ta,	島嶼	Bórroch o ta,	an island.	35		妤蓁_13-41
Borroch o atazajan,	桌沿	Borroch o atazajan,	the edge of a table.	35		妤蓁_13-41
Bossot,	抽出任何東西時使用的詞	Bossot,	a word used when anything is drawn out, as if we should say, It is out; also when any one comes forward, as bossot ja icho, he is come .forward. Pabossot, to draw out.	35		妤蓁_13-41
Bossor,	樹頂；植物頂端	Bossor,	the root of a tree, or plant,	35		妤蓁_13-41
Bottóos,	貓	Bottóos,	a cat.	35		妤蓁_13-41
Bottoots o adda	麝香貓	Bottoots o adda	a musk-cat, so called because it eats paddy in the field.	35		妤蓁_13-41
Bottóro,	人體的軀幹（不包含頭）	Bottóro,	the trunk of a human body, without the head.	36		妤蓁_13-41
Bree	弓	Bree	a bow.	36		妤蓁_13-41
Cha-át,	腳底的腫脹	Cha-át,	a swelling under the ball of the foot.	36		妤蓁_13-41
Cháar,	羽毛；翅膀	Cháar,	a feather, or wing.	36		妤蓁_13-41
Cháaran,	腹部	Cháaran,	the belly	36		妤蓁_13-41
Chachod,	通姦	Chachod,	adultery: from chumma.	36		妤蓁_13-41
Chad,	小腿	Chad,	the calf of the leg.	36		妤蓁_13-41
Chacheriel,	鋸子	Chacheriel,	a saw: from chummëriel, to saw.	36		妤蓁_13-41
Chadsja,	幾乎	Chadsja,	almost: chadsia madich, almost sick: chadsja macha, almost dead: chadsja man ja ina, I have nearly had enough: as olachal adsia, olochaladsja, olamamoeda, all these words are of similar signification, and appear to denote a kind of complaining: olamamoeda, olachadsja macha, he is nearly dead.	36		妤蓁_13-41
Chagh,	撞傷的玉米的渣	Chagh,	the refuse of bruised corn.	36		妤蓁_13-41
Chaqchái	絲狀或羊毛製的餐巾	Chaqchái	a small napkin of silk or woollen.	36		妤蓁_13-41
Chagchaú	大掃帚	Chagchaú	a besom. From chummaú to sweep.	36		妤蓁_13-41
Chachap	遮蓋物	Chachap	any kind of covering to shut up any thing, as the lid of a pot, pan, chest or canmster. also a door or window	36		妤蓁_13-41
Chachap-aû macha	埋葬之處	Chachap-aû macha	a burial place.	37		妤蓁_13-41
Chacháp o pro-o	跪	Chacháp o pro-o	the kneepan.	37		妤蓁_13-41
Chagcháab	漁夫的魚網	Chagcháab	a fisherman's sweepnet; from chummaChagchaáb, to fish with a sweepnet.	37		妤蓁_13-41
Chagchi	粗針	Chagchi	a bodkin; from chummi, to make a hole with a bodkin.	37		妤蓁_13-41
Chachilíp	裁縫剪	Chachilíp	a tailor's shears: from chummiliep, to cut with the shears.	37		妤蓁_13-41
Chachobnnan	用以設置武器的架子	Chachobnnan	any frame for setting up arms: from chummollan, something lying over another.	37		妤蓁_13-41
Chagchied	撈出的東西	Chagchied	any thing to scoop with, as the native gourds; from chummied, to scoop out of a pot, or pail.	37		妤蓁_13-41
Chaggi	為了	Chaggi	to purpose: mabochaggi, to know, to mean; o chaggi, to di to purpose.See kamachaggi, to know very well.	37		妤蓁_13-41
Challo	柔軟的蘆葦	Challo	soft reeds, growing among the grass.	37		妤蓁_13-41
Cha	酒渣	Cha	the dregs of strong liquor, in which there is no more juice; it differs from rasras.	37		妤蓁_13-41
Chachad	報應（好或壞）	Chachad	retribution whether good or bad; from chûmmad, to repay.	37		妤蓁_13-41
Chachirrich	線；條紋	Chachirrich	a line or stripe.	37		妤蓁_13-41
Chachorol	桅桿	Chachorol	a mast.	38		妤蓁_13-41
Châchûppir	固執；反對	Châchûppir	stubbornness, opposition; from chumpir, to break through.	38		妤蓁_13-41
Châgcho	清洗用的鹼液	Châgcho	lye, with which the natives wash their linen or heads; from chummachocho, to wash with lye.	38		妤蓁_13-41
Chaibos, or Haijbos	魔鬼的名字	Chaibos, or Haijbos	a name given by the natives to the devil; proverb. geroän haibos a sieg, foolish, silly.	38		妤蓁_13-41
Challam	葉子	Challam	a leaf; Chállam o bido, a leaf of a book; challam o barritok, a sheet of paer. Michalla challam, a book with many leaves, also linen folded up.	38		妤蓁_13-41
Chamma	甜酒	Chamma	a liquor made from water and dregs, also sweet beer: from Michan, to drink.	38		妤蓁_13-41
Chan, as Lo and roos	岸	Chan	a shore	38		妤蓁_13-41
Channûmma, also Chaûch	（地面上的）坑或洞	Channûmma, also Chaûch	a hole or pit in the ground, also a hollow place in anything. Chauch o arri borribon, the hollow place under the feet; from Pachauch.	38		妤蓁_13-41
Char	（人或野獸的）哭嚎聲		the cry of a man or beast, the smell or scent of anything. also clay. Ombobo char o bassaro o biman, to smell vinegar; tsiminis ochar o mochan o chamma, the taste of food; to try the taste of beer.	38		妤蓁_13-41
Chardón,	房屋在圍牆內的範圍	Chardón,	the premises round a house, within the fence.	39		妤蓁_13-41
Charra,	柵欄之間的空間	Charra,	the space between the lattice. Chárrima, the ears.	39		妤蓁_13-41
Charri o zijsia, o idas, o baar,	幾天；幾月；幾年	Charri o zijsia, o idas, o baar,	some days, months, or years, but not all.	39		妤蓁_13-41
Cháreo	死水	Cháreo	stagnant water. Repeated, char chareo, full of marshes and pools.	39		妤蓁_13-41
Charrod,	絲襪	Charrod,	stockings.	39		妤蓁_13-41
Chási,	蝙蝠	Chási,	a bat.	39		妤蓁_13-41
Chátto,	菸草	Chátto,	tobacco.	39		妤蓁_13-41
Chaû	火	Chaû	fire.	39		妤蓁_13-41
Chauge,	足夠	Chauge,	enough, as achoa, and ami, a a word whereby men signify that they desire no more: it differs from kamicho, and o chal.	39		妤蓁_13-41
Chaûlachol,	大膽	Chaûlachol,	the great gut.	39		妤蓁_13-41
Ché	糞便	Ché,	dung.	39		妤蓁_13-41
Che o machá	眼屎	Che o machá,	the matter from the eyes.	39		妤蓁_13-41
Cheison	野生山蘿蔔	Cheison	wild chervil.	39		妤蓁_13-41
Cheme	膿	Cheme	pus. From chummime.	39		妤蓁_13-41
Chielchiel	（獸的）爪；蹄	Chielchiel	the claws or hoofs of a beast. Chili, the testicles.	39		妤蓁_13-41
Chimogh	骯髒；清掃	Chimogh	foulness, sweepings.	39		妤蓁_13-41
Chin	(像跳蚤的）棕色的昆蟲	Chin	certain brown insects, which sit and sing in the grass, very much like grass-hoppers.	39		妤蓁_13-41
Chi-oor	芽	Chi-oor	a bud, such as shoot forth from trees. From chûmmioor, to sprout.	40		妤蓁_13-41
Chípássaman	因虛弱而摔倒；因病變瘦	Chípássaman	chinipassanan, inochipas sanan, to fall down through weakness, as those who are become thin through sickness, or who have lost their strength by travelling or fasting.	40		妤蓁_13-41
Chirrap	牙縫裡的菜渣	Chirrap	food sticking between the teeth.	40		妤蓁_13-41
Cho	人；種族	Cho	a man; also a people.	40		妤蓁_13-41
Choa	小藤條	Choa	a small rattans	40		妤蓁_13-41
Chobon	（劍或其他武器的）套子	Chobon	the sheath of a sword, or other weapon: from Chummobon, to sheathe.	40		妤蓁_13-41
Chógcho	藍色	Chógcho	blue	40		妤蓁_13-41
Choma	熊	Choma	a bear	40		妤蓁_13-41
Chomi	（編織用的）紗線	Chomi	yarn, for weaving.	40		妤蓁_13-41
Chomi	魚的身軀	Chomi	the milt of a fish	40		妤蓁_13-41
Chommottol	用拳頭打擊	Chommottol	chmúmmottol, chachûmmottol, g: chottolla, I. chottollen, chinottòl, inochottollen, to beat with the fist. Chûmmottol, chachattol, a blow with a fist.	40		妤蓁_13-41
Cho-o	新芽	Cho-o	a sprout, when it first shoots out of the ground. From chummo-o, to spring out of the ground.	40		妤蓁_13-41
Chorrien	聾	Chorrien	hard of hearing, deaf.	40		妤蓁_13-41
Chro	一種放血的工具	Chro	a fleam.	40	荷蘭原文: een roggebelle	妤蓁_13-41
Chubbóen	傻瓜；患有癲癇的人	Chubbóen	a simpleton; one who has the falling sickness, Chubbo- chubboen, intend. chubboen: verba. mehubboen. and machubbochubboen, chûmmáab, chimummaab, chachûmmáab, g. chaabba, I. cháabben, chieáab, inocháabben, to fish with a sweepnet.	40		妤蓁_13-41
Chûmmap,	放在地板上的東西	Chûmmap,	chinumáp, chachummap, g. chappa, I. chappen, chinap, inochappen, anything put into the ground: as chummap o machá, to plant any thing in the ground, so that a part sticks up, as when people plant trees. Also to shut a door, window, chest, &c. but with these two last meanings the word is changed into ichappa, ichap, inichap, inoichap, I. chappan, chinappan, inocháppan: chappen o macha o baron, the dead are buried, and the trees planted. Ichapja telp ja don, the chest or house is shut up: chappen ja telp, idem: ma-achochap o macha, a sexton: ma-achachap a baziep, a gardener: chachap, a plantation, also a planter; ditto, a cover, a door. Ta chappan ja chappanni o baron, bostor, baziep, &c. the earth covers the trees, roots. plants, &c.	41		妤蓁_13-41
Chûmmabal	威脅；恐嚇	Chûmmabal	chinummabal, chachummabal, g. chaballa, I. chaballen, chinabál, inochaballen, to say any thing to put one out of countenance, or make one afraid; já chabbal, to do as above: chachabal, a threatening; as lallalak, a frightening; ma-achachabal, maibas marais acho, a threatener. .	41		妤蓁_13-41
Chummacho	擦亮；磨（刀）；磨亮	Chum_ma_cho	chinummacho, chachummacho, g. chacho-o, I.  chachon, chinûcho, inochach-on, to polish. Pachacho, to polish, &c. Cho chummacho; inochachon, bato achoan; the man polishes; the knife is whetted; the stone grinds it sharp. Chachach-o, a grinding; ma-acha *cha_h-o, a grindstone.	42	cha_h-o標記不清	曉鈞_42-70
Chûmmadik	接近；靠近	Chûm_ma_dik	chi, cha, chaddikka, chûddikken, chinaddik, ino-chàddikken, to approach. Pachaddik, to draw near: chachaddik, an approach: ma-achachaddik, activ. any one who comes near: activ. ma-achaddik, coming near. From machaddik, chaddik, the drawing near of a matter.	42		曉鈞_42-70
Chummad	好報；惡報	Chum_mad	chinummad, chachúmmad, g. chadda, I. chadden, chinad, inochadden,  retribution, whether good or bad; pachad, transit: chachad, reward:  ma-achachad, a rewarder.	42		曉鈞_42-70
Chûmmaddip	割掉接近地面的某物	Chûm_mad_dip	chi, cha, chaddippa,  to cut off any thing close to the ground.	42	（類似拔草、除草？農作物？）	曉鈞_42-70
Chummagchil	遇見〈正在走路、跑步的〉某人	Chum_mag_chil	chinummagchil, chachummagchil, g. chachilla, I. chagchillan, chimagchillan, inochagchillan,  to come up with any one in walking or running. Pachachil, chachûchchil, nom. subst. ma-achûchachil, a good runner that can overtake others.	42		曉鈞_42-70
Chûmmâi	背（...在背上）	Chûm_mâi	chinummai, chachûmmai, g. chai-a, *I. cha-in, chinai, inochaittin, to carry on the back. Pachai, transit: chachai, nomen. subst. ma-achachai;	43	*I看不出是大寫I還是小寫l	曉鈞_42-70
Chummallak	包住；蓋住；覆蓋	Chum_mal_lak	chi, cha, challakka, chilakken, chimallak, inochallakken, to cover over, as 'tummakken; achallak, transit.	43		曉鈞_42-70
Chûmmais	拖延；延遲	Chûm_mais	chi, cho, chaisa, pass. chaisas, a putting off. Pachais, transit.	43		曉鈞_42-70
Chummallûm	(v.)堆疊；使...重疊 (n.)疊在一起的某物〈如衣服〉	Chum_mal_lûm	chinummallam, *chachummałlam, g. challama, any thing that lies over another, as clothes, &c. Also to hang or put one thing over another.	43	*chachummałlam粗體字看不太清楚，但應該是ł	曉鈞_42-70
Chûmmalyal	狗吠聲	Chûm_mal_yal	chi, cha, chalgalla, the barking of dogs. Pachalgal, transit. Chachalgal, gebas nom. ma-achchalgal, to bark.	43		曉鈞_42-70
*Chummannagh	在箭上刻凹痕〈使其能固定在弦上〉	Chum_man_nagh	chi, cha, *channagha, channaghan, chinannaghan,  inochannaghan,  to make a notch in an arrow in order to fix it on the string.	43	*標示不清	曉鈞_42-70
*Chummunied	（大人或小孩的）尖叫聲；吼叫聲；哭喊聲	Chum_mu_nied	chinmumaniod, chachummanied, g. *channida, the screaming, howling, and crying, whether of children  or adults.	43	*標示不清	曉鈞_42-70
Chûmmalt	付贖金給歹徒；付罰款；償還	Chûm_malt	chinûmmalt, chachûmmalt, g. chatta. I. chattan, chinattan, inochattan, to pay a ransom for a murderer: according to  the old native custom, a pig for a man. Also to pay a fine  for any misdeed. Pachalt, transit. to do as above: also  simply to give back or repay one thing for another, like for  like, whatever it be: chachalt, the punishment laid on any one a ransom for murderer. Also the judgment that is  annexed to murder. Atea *zi_sja o chachalt o tapos o cho, the day of general judgment. Ma-achachalt, a ransomer; that is, one who pays the ransom.	44	*標示不清	曉鈞_42-70
*Chummappachappa	固執的；無恥的；自大的	Chum_map_pa_cha_ppa	chinummappachappa, chachûmmappachappa, g. chappachappa, stubborn, shameless, haughty; to hawl and tear in a quarrelsome manner:  chiummaappachappo, cho, maibas, chammabal,  chachappachappa, stubbornness; ma-achachappachappa, a stubborn, troublesome person.	44		曉鈞_42-70
