lemma,zh-def,ori-def,ori-page
Chielchiel,（獸的）爪；蹄,"the claws or hoofs of a beast. Chili, the testicles.",32
Chimogh,骯髒；清掃,"foulness, sweepings.",32
Chin,(像跳蚤的）棕色的昆蟲,"certain brown insects, which sit and sing in the grass, very much like grass-hoppers.",32
Chi-oor,芽,"a bud, such as shoot forth from trees. From chûmmioor, to sprout.",33
Chípássaman,因虛弱而摔倒；因病變瘦,"chinipassanan, inochipas sanan, to fall down through weakness, as those who are become thin through sickness, or who have lost their strength by travelling or fasting.",33
Chirrap,牙縫裡的菜渣,food sticking between the teeth.,33
Cho,人；種族,a man; also a people.,33
Choa,小藤條,a small rattans,33
Chobon,（劍或其他武器的）套子,"the sheath of a sword, or other weapon: from Chummobon, to sheathe.",33
Chógcho,藍色,blue,33
Choma,熊,a bear,33
Chomi,（編織用的）紗線,"yarn, for weaving.",33
Chomi,魚的身軀,the milt of a fish,33
Chommottol,用拳頭打擊,"chmúmmottol, chachûmmottol, g: chottolla, I. chottollen, chinottòl, inochottollen, to beat with the fist. Chûmmottol, chachattol, a blow with a fist.",33
Cho-o,新芽,"a sprout, when it first shoots out of the ground. From chummo-o, to spring out of the ground.",33
Chorrien,聾,"hard of hearing, deaf.",33
Chro,一種放血的工具,a fleam.,33
Chubbóen,傻瓜；患有癲癇的人,"a simpleton; one who has the falling sickness, Chubbo- chubboen, intend. chubboen: verba. mehubboen.
and machubbochubboen, chûmmáab, chimummaab, chachûmmáab, g.
chaabba, I. cháabben, chieáab, inocháabben, to fish with a sweepnet.",33
"Chûmmap,",放在地板上的東西,"chinumáp, chachummap, g. chappa, I. chappen, chinap, inochappen, anything put into the ground: as chummap o machá, to plant any thing in the ground, so that a part
sticks up, as when people plant trees. Also to shut a door, window, chest, &c. but with these two last meanings the word is changed into ichappa, ichap, inichap, inoichap, I. chappan, chinappan, inocháppan: chappen o macha o baron, the dead are buried, and the trees planted. Ichapja telp ja don, the chest or house is shut up:
chappen ja telp, idem: ma-achochap o macha, a sexton: ma-achachap a baziep, a gardener: chachap, a plantation, also a planter; ditto, a cover, a door.
Ta chappan ja chappanni o baron, bostor, baziep, &c. the earth covers the trees, roots. plants, &c.",34
Chûmmabal,威脅；恐嚇,"chinummabal, chachummabal, g. chaballa, I. chaballen, chinabál, inochaballen, to say any thing to put one out of countenance, or make one afraid; já chabbal, to do as above: chachabal, a threatening; as lallalak, a frightening; ma-achachabal, maibas
marais acho, a threatener. .",34
Chummacho,擦亮；磨（刀）；磨亮,"chinummacho, chachummacho, g.
chacho-o, I. 
chachon, chinûcho, inochach-on, to polish.
Pachacho, to polish, &c.
Cho chummacho; inochachon, bato achoan;
the man polishes; the knife is whetted;
the stone grinds it sharp.
Chachach-o, a grinding; ma-acha *cha_h-o,
a grindstone.",42
Chûmmadik,接近；靠近,"chi, cha, chaddikka, chûddikken, chinaddik,
ino-chàddikken, to approach.
Pachaddik, to draw near: chachaddik, an approach:
ma-achachaddik, activ. any one who comes near:
activ. ma-achaddik, coming near. From machaddik,
chaddik, the drawing near of a matter.",42
Chummad,好報；惡報,"chinummad, chachúmmad, g. chadda, I.
chadden, chinad, inochadden, 
retribution, whether good or bad;
pachad, transit: chachad, reward: 
ma-achachad, a rewarder.",42
Chûmmaddip,割掉接近地面的某物,"chi, cha, chaddippa, 
to cut off any thing close to the ground.",42
Chummagchil,遇見〈正在走路、跑步的〉某人,"chinummagchil, chachummagchil, g. chachilla, I.
chagchillan, chimagchillan, inochagchillan, 
to come up with any one in walking or running.
Pachachil, chachûchchil, nom. subst.
ma-achûchachil, a good runner that can overtake others.",42
Chûmmâi,背（...在背上）,"chinummai, chachûmmai, g.
chai-a, *I. cha-in, chinai, inochaittin,
to carry on the back.
Pachai, transit: chachai, nomen. subst. ma-achachai;",43
Chummallak,包住；蓋住；覆蓋,"chi, cha, challakka, chilakken, chimallak, inochallakken,
to cover over, as 'tummakken; achallak, transit.",43
Chûmmais,拖延；延遲,"chi, cho, chaisa, pass.
chaisas, a putting off. Pachais, transit.",43
Chummallûm,"(v.)堆疊；使...重疊
(n.)疊在一起的某物〈如衣服〉","chinummallam, *chachummałlam, g.
challama, any thing that lies over another, as clothes, &c.
Also to hang or put one thing over another.",43
Chûmmalyal,狗吠聲,"chi, cha, chalgalla, the barking of dogs.
Pachalgal, transit.
Chachalgal, gebas nom. ma-achchalgal, to bark.",43
*Chummannagh,在箭上刻凹痕〈使其能固定在弦上〉,"chi, cha, *channagha, channaghan, chinannaghan, 
inochannaghan, 
to make a notch in an arrow in order to fix it on the string.",43
*Chummunied,（大人或小孩的）尖叫聲；吼叫聲；哭喊聲,"chinmumaniod, chachummanied, g. *channida,
the screaming, howling, and crying, whether of children 
or adults.",43
Chûmmalt,付贖金給歹徒；付罰款；償還,"chinûmmalt, chachûmmalt, g. chatta. I. chattan, chinattan,
inochattan, to pay a ransom for a murderer: according to 
the old native custom, a pig for a man. Also to pay a fine 
for any misdeed. Pachalt, transit. to do as above: also 
simply to give back or repay one thing for another, like for 
like, whatever it be: chachalt, the punishment laid on any
one a ransom for murderer. Also the judgment that is 
annexed to murder. Atea *zi_sja o chachalt o tapos o cho,
the day of general judgment. Ma-achachalt, a ransomer;
that is, one who pays the ransom.",44
*Chummappachappa,固執的；無恥的；自大的,"chinummappachappa, chachûmmappachappa, g.
chappachappa, stubborn, shameless, haughty;
to hawl and tear in a quarrelsome manner: 
chiummaappachappo, cho, maibas, chammabal, 
chachappachappa, stubbornness; ma-achachappachappa,
a stubborn, troublesome person.",44
Chümmacha,尋找,"chinûmmacha, chachûmmûcha, chachachachûan, chinacha,
inochachaas, to look for, to seek out. Pachacha, pi, pa,
apachûcha, ipachacha, inipachacha, ino-ipachacha,
to search out: piri mario. Chummacho o arribel, o naùpoot,
to look out for good clothes: chummacho'mammal, to look
out for a lover; it is used for men as well as things. Chachûcha,
a searching out: maachachacha, to seek out.",44
Chummachcho,用鹼液洗,"chinummachcho, chachûmmachcho, chachchoa, chachchoan,
chinachchóau, inochachchoan, to wash with lye.
Pachûchcho, pinachachcho, papachachcho, ipachachchoa,
ipachachcho, inipachachcho, inoipachachcho, to do as above.
Chummach cho-no riba, to wash clothes.
Ma-achachachcho, a washerman. Chach-cho, lye to wash with.",45
Chûmmar,焚燒,"chinûmmar, chachûmmûr, g. charra, I. charren, chinar, inocharren.
inochûan, to burn up. Pachar, transit. Cho chummar aras baron, 
don charren; or chaan, chauman, people have set the grass on
fire, and it is burnt; the fire consumes. Chúchar paga chûchar
assaban, there is a fire in the village; ma-achachar, one who sets
any thing on fire.",45
*Chummecheo,把洞鑽大,"chinummeocheo, chachúmmeocheo, cheoche-óa, cheocheoon,
chineocheoon, inocheocheoon, to bore a hold a little wider, 
as with a knife, the point of a bill, &c. Pacheocheo, pinacheocheo, 
papacheocheo, ipacheocheóa, ipacheocheo, inipûcheocheo,
ino-ipacheocheo, to do as above.",46
Chummaraddo,環繞；包圍,"chi. cha, charaddoa, charaddoon, chinaradodo, inocharadodoon,
the same as rûmmarro, to encircle. Pacharûdodo, transit.
chacharadodo. nom. chûmmarapo, chi, cha, charopoa,
charapoon, chinarapo, inocharapoon, to cover a chamber with 
ant thing; to guard the window with a bamboo: chacharapo, from
Pacharapo, a covering, or placing.",46
Chûmmarillochillo,蛇扭動的樣子,"chi, cha, charillochilloa, the writhing of snakes.",46
Chûmmarop,用手聚集並拿起....（如米、大麥）；把土耙在一起,"chinummarop, chachûmmaróp, g. charoppa, l. charóppan,
inicharop, inocharoppan, to gather and take up with the hands,
as rice, barley; also to rake dirt together. Pacharop, transit.
from chacharop, such scraping together; ma-achacharop,
to scrape anything.",46
Chûmmarrad,"(v.)堆疊、使重疊 
(n.)疊在一起的某物〈如衣服〉",same as chûmmallam,46
Chûmmarod,穿襪子,"chinummarrod, chachummarrod, g: charrodda, to put on one's
stockings. Pacharrod, pi, pa, ipacharodda, &c. charroddas,
chinarroddan, ino-charroddan; charroddan ja asiel, 
he legs are covered with stockings. 
Charrod, ipacharrod, the stockings are on.
Charrod, stockings; ipacharrodoxia, put on the child's stockings.",47
Chûmmaschas,把某物刮平,"chinûmmaschas, chachûmmaschas, g. chaschàssa, I. 
chaschassen, chinaschas, inochaschassen, 
to scrape any thing even.",47
Chümmat,〈海〉漲潮,"chinummat, chachûmmat, it is high water; but this is only said of the
sea, and not of rivers. It is used when the water stands still, and 
does not flow. Châchat, high water. Sabunno ja chúmmat ai?
When is it high water? Chûmmat ja to, it is high water.",47
Chummattad,遮蔽,"chi, cha. chattûdda, chattaddan, chinattaddan. *inocha_taddan,
to shadow, to over shadow. Pachattad, transit. nom. chattad.
a shadowing. Chatta dan aijan, a shadowy place, 
a covering for the sun.",47
Chûmmaû,掃,"chinûmmaû, chachûmmaû, g: chau-u, I. chaûan, *chiuaû, *inochaúnan,
to sweep. Pachaû, transit. Chachaû; a besom: ma-achachaû, a sweeper:
chochûmmaû, the man sweeps. Chauan ja don, the house is swept.",47
Chúmda,在季節初到時,"chi, cha, cheda, chedûan, chienda, inochedûan, early in the season:
as Padaat, Pachdo', transit. nom. chachda, early time.",48
Chûmme,做出〈合適的〉舉動,"chinumme, chachumme, g. chía, to do that which is suitable.",48
Chummeriel,鋸,"chinummeriel, chachûmmeriel, to saw; cherila, cherilen, inocherilled.
Pacheriel, pi, pa, ipûcherilla. a saw.",48
Chûmmero,拉直,"chinûmmero, chachûmmero, g: chera, I. cheroan, chínero, inocheroon,
to make straight. As Pachero, transit. chûmmero-noties, chache-ro, nom.
sub. a making straight; also that by which any thing is made straight.",48
Chûmmi,用錐子鑽洞,"chinûmmi, chachûmmi, g. chia, I. chien, chini, inochieu, to bore a hole
with a bodkin. Chaegi, a bore.",48
Chûmmibar,攪拌食物（使不燒焦）；划船,"chinûmmibar, chûchûmmibar, g. chibarra. I. chibarren, chinibar, 
mochibarreo, to stir about food in the cooking, that it may not be burned.
Also to row: Pachibar, chibûrren; inochan a bali, the food is well stirred;
the boat is rowed. Chachibar, a stiring about: chachibar o abak, the rowing
of a boat; ma-acha, chibar, a boatman, a rower.",48
Chümmichi,倒入、倒出（液體）,"chinummichi, chachûmmichi, g: ichichia, I: ichicha, inichicha, inochichi,
to pour in, to cast in, as in a pot, can, or bottle, &c. to pour out.
Pachichi, transit. from chumma. Otoichichi, the beer, wine, or water is
poured out. Chûmmichi, oto o bonoaad_ maibas tûmmis, chachichi,
a pouring out, or pouring in; chûche, chi oto, chamma, ma-achachichi,
a cup bearer.","49
（頁面疑似有被切到）"
Chûmmied,（用籬笆等）圍住,"chi, cha, chieddan, chidden, chinied, inochiëdden, to fence in, to inclose;
Porchied. transit. Chached, a fence; ma-achachied, to inclose.",49
Chummieg,烤；炸,"chinummieg, chachummieg, g. chiegcha, I: chiegchegen, chiniegch,
inochiegchen, to roast; as summoso pachieg, chiegchen tsi biman,
the fish or flesh is fried. Chachieg, a roasting, or frying; maachachien, a fry.",49
Chûmmillip,用矛割,"chinûmmillip, chachûmmillip, g: chilippa, I. chilippen, chinilip, inochinilippen,
to cut with shears. Chummillip, naupoot, to cut linen; naupoot chilippen, the
linen is cut up. Chachilip, scissars; ma-achachilip, one who cuts with
scissars.",50
Chûmmimit,照顧；保護；統治,"chinûmmimit, chachummimit, g: chimta, I. chimten, chinimit, inochimten,
to secure, to take care of, to protect, to rule, to take charge of. Pachimit,
transit. Ma-achachimt, a superintendent, a ruler. Chachimit, a rule.
Pachimit, to take care of. Pachimit o assaban, a garrison to take care of
a town.",50
Chúmmimo,攪拌食物（使不燒焦）；划船,the same as chûmmibar,50
Caûmmio,做某事〈以遠離他人〉,"chinummio, chachummio, chiou, chioan, chinio, inochioan, chummio, no-man,
michan patite, to do any thing when we do not want any one else near.
Chûmmio no cho, to get away the people: cho chioan, the people are gone.",50
Chûmmior,〈樹〉發芽,"chinûmmior, chachûmmior. to sport forth as trees.
Pachoir, transit. Gitas pûchior o barros, the rain makes the tress bud.
Chioor, a bud.",
Chûmmischis,〈摩擦竹子〉生火,"chinummischis, chachummischis, g: chischissa, l: chischissea, chinischis, 
inochischissen, to produce fire by the rubbing of two bamboos together.
Pûchischis, transitiv. Chûmmischis o chau: to produce fire.",
Chûmmó,用藤蔓環繫起某物,"chinûmmio, chachummo, *choachoon, chino, ino-choon; Pacho, transit.
to lace any thing with a string of rattan. Tairies choón o sarries chacho,
a birding together: chachono tairies,  a stringing of corals.",
Chummoa,繫在一起,"chinûmmoa, chachummonao, g. choa, I. choan, chinoa, inocho-an, 
to lace together. Pachoa, transit. Chachoa. a lacing together. 
*Chummoagagir, to lace the nets together, to fasten.",
Chummime,〈從疥瘡中〉擠出膿,"chinummine, chachummime, chemea, cheme-in, chineme, ino-cheme-in,
to press out pus from a boil. Pûchemc, pinacheme, pûpûcheme, 
ipa-chemea, ipacheme. inipacheme, ino-ipacheme, to do as above. 
Chûmmime o soo, to press out a wound.
 Chemeis soa, the wound is pressed out. Cheme, pus.",51
Chumminoch,（因憤怒、輕蔑）被丟棄、驅逐的某人或某物,"chinumminoch, chachumminoch, chiuoch-a, chinoch-en, chininoch,
inochinochen, that which is disapproved of in anger, or cast away in contempt
Pachinoch, po, pa, ipachinocha, &c. to do as above. It betokens also to throw
away any thing in anger and break it into pieces.",
Chummir,〈如鳥般〉空中盤旋；（樹、草等）擺動,"chi, cha, chirra, chirron, chinir, inochirran, to hover as birds when they keep
their wings still. Pachier, to do as above. It is used also of trees or grass,
when they gently wave their heads.",
