詞條,釋義,中文,頁數
Chûmmobbechob,"chinummobbechob, chachûmmobbechob, g: chobbechobba, I: chobbechobben,
chinobbechob, ino-chobbechobben, to tuck up, to strip up, as the sleeves of a coat.
Also to stir up to diligence in work. Pachobechoob, transit: chachobechoob, nomen.
Chummobechoob o tummaap, to stir up. Cho, chobechoben, chûmmobechoob, riba,
lili, o liba, the clothes or sleeves stripped up.",捲起袖子；打起精神努力,
Chummobon,"chinûmmobon, chachûmmobon, g. echoboma, I. ichobon, inichobon, ino-chiobon, 
to put into the sheath, the sheath. Chobonnan, chinobonnan, inochobonnan. 
Pachobon, transit. Chobon, nomen. a sheath.",放進（刀劍等的）鞘,53
Chûmmod,"chinummod, chachûmmod, g: chodda, I: chodden, chinod, inochodden, to commit 
adultery, to seek an improper connection: or the improper connection itself.
Sai sini, sù chummod ina, mirab palro achachoa, sjiem, ____ is a woman come to
ask me to ______ her son go free. Pachod, transit. Chachod, whoredom, adultery.
Ma-achachad, a whoremonger, an adultery.",通姦；尋求不當（男女）關係,
Chûmmollichol,"chinummollichol, chachûmmollichol, g: chollicholla, I: chollichollen, chinollichol,
inochollichollen, to put out, to put away. Pachollichol, transit. Chachollichol, nomen.","to put out, to put away",
Chû mmolliet,"chi, cha, chollietta, chollietten, inocholliën, inocholliëtten, 
the same as hûmmahimmotto; chachollien, nom. chûmmollicholp riba, to undress.
Chûmmollichol o bazigh, villen.",the same as hûmmahimmotto,
Chûmmollok,"chinûmmollok, chachummollok, g: chollokka, I: chollokkan, chinollokkan, 
inochollokkan, to change things of the same sot one with another, whether openly
or in secret. Pachollok, transit. Chachollok, to exchange, barter, chachollok o arribil.",用同種類的物品取代,
Chummonagh,"chi, cha, chinagha, chonaghen, chinonagh, ino-chonûghen, as lummalla.
Pachonagh, as lalala. Ma-achàchonag, als ma-alalala.",引起（不好的、邪惡的事）,54
Chummoschos,"chinûmmoschos, chachummoschos, g: choschossa, I: choschossen, 
chinoschas inochoschossen, anything badly, or raggedly cut.",粗糙地剪/砍下來的東西,
Chûmmonchos,"chi, cha, chonchonna, plough. Chachonchon, a ploughing.",犁，耕,
Chummo-o,"chinummo-o, chachûmmo-o, to spring out of the ground. Pacho-o, pi, pa, ipachooa,
ipacho-o, inipacho-o ino-ipacho-o, to arise, to spring up. Cho-o, a sprout.",從地上長出,
Chûmmomochomo,"chinummomochomo, chachummomochómo, chomochómoa, chomochomoon,
chinomochomoon, inochomochomoon, to rub anything gently with the palm of the 
hand. Pachomochomo, to rub with the hand the place that itches.",用手掌摩擦、磨蹭,
Chûmmoschos,"chi, cha, choschosse, pass. choschossen. chinoschos, inochoschossen, 
idem tùmmachos. Pachoschos, transit.",????????,
Chummoté,"chinummoté, chachummote, choten, chote, chinoté, inochoten, to punish; as tummea,
and pachote; chachoté, punishment. Ma-achachote, punishing.",處罰,
Chummottol,a blow with a fist.,一拳,
Chumpe,"chinumpe, chachumpe, g: chuppea, I: chuppein, chinuppe, ino-chuppein, bamboos make
flat like boards. Pachuppe, transit.",扁平像板子的竹子,
Chumpir,"chinumpir, chachumpir, chuppirra, chuppirren, chienpier, ino-chûppirren, to break through;
as men say, chunopir o arros, o to, o azijes, to push through the grass, the water, 
the enemy, &c. Pachûppir, pinachuppir, papachuppir, ipachûppirra, to do as above.
Chachuppir, a breaking through; chachuppir o to, the braking through of water.",穿過（草叢、水面、敵人等）,
Chumpod,"chinumpod, chachumpod, to spring out of the ground, as water.",(水)從地底冒出來,
Chumrar,"chi, cha, the shooting forth of many sprouts from the root.",芽從根部冒出,
Chumsan,"chinumsan, chachûmsan, the in- and expiration of the breath. It differes from paucher,
which means to blow strongly; chachsas, nom. the breath.",吸/吐氣,56
Chuppé,a flttened piece of bamboo. From chumpé.,弄平了的竹子,
Chuppin,the woof. Chuppin o naupoot.,狼,
Chúppod,"a well, a fountain. From chumpod.",泉；井,
Da,"an aflix, as macha-da, dead, dry; ma-bada, wize, to know.",死亡、乾和（是字根？）,
Daal,a straw; after the seed is threshed out.,稻草(種子被取出來之後),
Daddalizi,"a dance, from dûmmalizi.",一種舞蹈,
Daddassas,the crop of birds.,鳥的嗉囊,
Dagh,"over, done: ka dagh ja zichil, the sorrow is over: ka dagh ja mapich, the fight is done:
ka dagh ja oba, the drowsiness is past.",終結；過去,
Dachûm,"the shadow or darkness which the clouds make on the ground, when they obscure the sun;
for otherwise the shdow of a tree is called eonno. Verbum, midach-um. Paidach-um, transit.",雲的陰影,
Dadach,"the stalk of plants, melons, &c.",(植物的)莖,
Dakrap,"cannot well be trasnlated(???): dakrap ja mampa, there sits the bird: innai bonna da mai
dakrap, I am come out of the field, and here I sit.",存在、坐（？？？）,57
Dallassan o bam,"Darri dûrri, a clock.",時鐘,
Dalli,"the wagtail. Hence the proverb. tumcha inasoan, sai don ja dalli, mameroos jà badda,
masumak ja baas, the northern monsoon approaches; the swallow returns to her house;
the bachelors wish to marry; it is now the time for pairing.",鶺鴒（一種鳥）,
Datta,"the bank of a river; written dûtta: lallûbbo, lobbokas, the sea shore.",河岸,
Daûkirrap,a double flute on which people plat with their nostrils.,一種鼻笛,
Daûtatsitlichen,the little finger.,小指,
Dûzino,a flying kite: as taz-i.,在飛的風箏,
Dazjo,"the blade of a sword or knife, to which the handle is fixed.",(劍、刀的)刀面,
De,"in, somewhere, there: de don, in the house: de Tackais, near Tackais: but the de is commonly
joined to two other words, as lellum, and pana, of which the first means in, and the second there; 
thus instead of the above, they say, de lellum don, pana de Tackais: de is not seldom found 
after innai, and thus serves to point out a place; as innai de errenerren, from Favorlang;
de means also near, paga barron de tabaipaû ja don. Nataroa, mini, de lellum, inni, is of the
same meaning: sometimes i is used, as kakoren i barrien, for lellum.",在某處；靠近某處,58
Decho,they.,他們,
Deeg/Dillij,"any evil that we deserve, or have brought on ourselves; thus they say, jo a deeg, or dillij, it
is well arranged, you have your deserts.",報應,
Dema,"who, what, which, where.",疑問詞（誰、什麼、哪一個、哪裏）,
Dema,"indema, indea, inde, de, are all of one meaning, as pana dema, pana de, where are you going?
N. B. Nûmma is sometimes used for dema, as mosse-numma, for mosse-dema.",哪裏,
Dipa,lest.,以免,
Dich,a sickness. From Madich.,一種疾病,
Dille,"all sorts of yound birds, just hatched and not yet fledged.",幼鳥,
Dimmo,"zinemmo, dadimmo, g. doa, I: doon, zinoon, inodoon, to pull upwards, to hoist, as people draw
water out of a well. Pado, transit. Dummono dale, to. draw up a pitcher: dale kadoon, means also
to take a pot off the fire.",往上拉,
Dippi,iron.,鐵,
Doat,"a jungle full of reeds and rushes, such as grow on the banks of rivers and morasses.",長滿蘆葦的叢林,
Dogh,"manner, custom: kadogh, constume, ceremonies: kadóg o assaban, kadog o anibaas, maibas
madarrain.",禮儀；傳統,59
Don,"a house, a great vessel.",房子；大船,60
Doogh,"to beat: ka doogh ja na öeno, my head beats; as tummok. Doogh has no tenses.",my head beats(???),60
Dorren,the lips,嘴唇,60
Dummarau,"zinûmmaraû, tadûmmaraû, g. daraû-a, I. daraûn, zenaraû,inodaraun, to bend half round, 
to make a semi-circle. Padaraû, transit. modaraû, semi-circular: neutr. daddaraû, a semi-circle.",折彎成半圓形,60
Dummadach,"dsi, tad: dadacha; dadachen, &c. to climb. Padadach, transit.",爬,60
Dûmmadach,to make into a circle; imp: daraûdaûn.,（使）成為圓,60
Dûmmaribodibo,"the same; imp. taribodiboa, modaaraûdaû, modaribodibo, like a circle; daddaraûdaû, 
daddaribodibo, a circle.",像一個圓,60
Dûmmaries,"zinummaries, tadummarries, g: darriesa, I: idarries, inidarris, inoidarries, darriessan, inidarries, 
darriessan, to lock up, or fasten. Padarries, transit. chachap idarries, don darriessan: dandarries,
a lock.",上鎖,60
Dûmmarrogigodoggo,"zinummarrogigodoggo, tadûmmarogodoggo, g. darroggodoggo-a, to walk double, as old people
or those who are deformed do, to spy out anything. Maibas kakkollen. pikkon sies: 
daddarroggodoggo, nom. as ababad  pikkon, a hunch back.",瘸腿走路（？？）,60
Dûmmaû,"to do anything in the place of another, or to succeed to one, dsi, tadum: imp. daua: nomen dau,
instead of another. Maanaû, one who comes in the place of another to do or suffer anything for them.",替代、取代,61
Dûmmaûko,"zinûmmaûko. tadúmmaûko, g. daûkóa, to lift up the head high, either because people can see with
difficulty, as mitébabo baak, or that they do it, inomaso kummeriel, to pay the more attention.",抬頭,61
Dummo-an,"zinûmmo-an, inodùmmoan, to sweat. Dûmmoan ja ina, I sweat. Dûmmo, sweat.",流汗,61
Dùmmaûkaûka,"zinûmmaûkàûka, tadûmmaûkaûka, g: daûkaûka-a, is said of drunkards who go staggering about the
streets.",醉漢蹣跚而行,61
Dûmmeódeo,"zinûmméódeo, tadûmmeódeo, long and trailing, as a long garment, a long tail, long hair, &c.
Dûmeódeo, arriba, taa, the gown trails, the hair hangs long.",長、飄逸,61
Dùmmeogh,"zinûmmeogh, tadûmmeogh, g: déogcha, I. deógchen, zineogh, inodeogchen, to brush, or rub off.
Dûmmeógo o sesnab, to brush down with a brush: dûmmeog o rima. to rub down with the band. 
Padeoch, transit. taddeoch, nomen. subst. Dûmmeogh o magcha, to rub the eyes: dûmmeogh o
nok, to blow the nose.",刷；磨擦,62
Dúmbor,"zinumbor, tadûmbor, doborra, doborren, zinobor, inodoborren, padabor, transit. to take away 
against one's will: as maûpis, poas: ka sai dumbor na mochan ja mado, the dog has taken away my
food; to constrain another to do any thing, either willingly or not; to hold fast, and not to left go:
as madabdab, elli pittol o meacha, dombor o maùmali o meroos. Dûmbor o arribil, dûmbor o cho,
to force any one, to take any thing away: nomen. subst. daddobor, daddobor o ballag, depriving
another of his goods. Ma addobor, an oppressor, a tyrant.",強行奪走、搶走,62
Dummaat,"zinummaat, tadûmmaat, g: daatta, to approach, to draw near. Passi. daatten, dsinaat, inodaatten,
that which is approached. Padaat, to draw near; dûmmadaat, intend. taddaat, a drawing near;
dûmmaat o assaban o sabba, dûmmaat ta deon.",接近，靠近,62
Dummachal,"dsi: tad. dach-alla, dachûllen, zinach-al, ino-dach-allen, to turn over the over the ground with a
spade or hoe. Padach-al, daddach-al, a digging up, also a hoe. Ma ataddach-al, a digger.",（用鋤頭等）翻地,63
Dummaggo,"zinummaggo, tadûmmaggo, imp. daggo-a, not to stand upright, to over hang; is generally said of men,
houses, trees, &c. padaggo, transit. Dummaggo, o moddan asjoddon, the gable or wall hangs over.
Tadaggo, nomen. subst.",（樹木、房屋、人）站不直,63
Dummakkal,"dsi, tad, see tûmmakkal, to bind. Daddakkal, a ribbon, a bandage.",緞帶、繃帶,63
Dummallap,"dsi: tadum: dalappa, to thatch a house with grass. that is when a portion of the old thatch remains.",用茅草蓋屋頂,63
Dummalimogh,"h, zinûmmalimogh, tadûmmalimogh, is said of the sky, when it appears hazy as in a drizzling shower.
Dûmmalimogh o busûm.",天空起霧、變得模糊,63
Dummalizi,"zi, tad, dalizia, dalizian, zinalizau, inodalizian, to dance. Padalizi, transit. daddalizi, a dance. 
Maadaddalizi, a dancer.",跳舞,63
Dummap,"zinûmmap, tadûmmàp, dappa, dappen, zinap, inodappen, as chûmmachil.",追上，趕上,64
Dummarraab,"zinùmmarrab, tadûmmarrab, g: darrabba, I: darraban, zinarraban, ino darranban, to line, or to fix the
lining in a garment. Also to put one garment over another. Also to live in aultery. Padarrab, transit.",使有線條；排齊；偷情,64
Dummarradarrab,"the plural of the preceding. Padarrab, transitiv. Hence dardarab, lining.",Dummarraab的負數,64
Dûmmapal,"zinummalpal, tadûmmapal, g. dapûlla, I. dapallan: dapallan baron, baro asiel, rima oenoete idapal,
idapal, inidapal, inoidapal, zinapallan, inodapallan, to run against any thing, as kadoog; padapal, transit.
daddapal, apush, a clash: daddapal o asiel.",撞到,64
Dûmmarram,"zinúmmarram, tadûmmarram, g: darrama, to practice one's self in any thing, is used both for teacher
and learner. Passi. darramen, dsimarran, inodarranmmen, dummarran, tûmmoch o bido, 
to practice one's self in reading; is verbum act: dûmmarram o sisjien o tûmmoch o bido, the children
exercise themselves in reading. Madarram, as maba. Padarram, dûminarram, acho maba. Dûmmarram
meach ta Deos, to practice one's self, or to learn to pray. Daddaram, nom. exercise. Daram, to exercise
one's self, nom. exercise. Taddaram, one who is practised. Daddarran o aiacha,a meeting for prayer. 
Ma adaddarram, one who exercises himself or another.",（在學習的過程中）實作,64
Dûmmaraggadaggal,"zìnûmmaraggadaggal, tadûmmaraggadaggal, darraggadaggalla, to stumble.",跌倒,65
Dûmmirdir,"dsi, tad, imp. dasdissen, to sit, to squat down, as when men sit on their heels. Padasdis, transit. nom.
daddasdis.",蹲下，坐下,65
Dûmmittia,"zinûminittin, tadûmmittin, g. dittina, to stop half way, not to go out.",半途停下,65
Dûmmoas,"dsi, tad, doassa, doassen, dsinoas, inodoassen, is said of liquor when it is too fresh, that people may
make it more sour or more sweet. Padoas, transit. daddoas, dummoas machoch, put some more acid in
it: daddoas. make it sweeter.",（酒）不夠陳,65
Dummobdob,"tsi, ta, dobdobba, dobdobben, dsinobdob, ma dobdobben, to wake up any one. Padobdob, transit.
Sadobdob, nom. Ma addobdob, one who wakes up another.",叫醒別人,
Dummochol,"zinûmmochol, tadûmmochol, docholla, dochollen, zinochol, ino dochollen, to strike with the fist on the
breast. dadochol, nom.",用拳頭打胸口,
Dûmmoelallis,"dsi, tad, didossa, pass. dosdossen, &c. ja to, to tap, or let off liquor. Padodos, transit",,
Dummoragh,"zinûmmoelallis, tadûmmoelallis, g: doelalissa, I: doelalissen, zinoelallis, inodoelallissen, to hit people 
slightly, without hurting them.",（不使人受傷地）輕打別人,
Dummorab,"zi, ta, g: doragcha, I: to flay, chûmmorach, idem.",剝皮（？？）,
Dummorat,"zinûmmorat, tadûmmorat, g. doratta, I. doratten, zinorat, inodoratten, to relieve. Chûmmorat, idem.
Padorat, transit. dadorat, nom.",放鬆,
Dummori,"zinûmmori, tadûmmori, g: dorria, to deny, to speak against.",否認；拒絕,
Dummoro,"(the last o sounded short) zinummoro, tadûmmoro, g: dorro, to go in. Contract, dorro, dsinorro, &c. 
daddoro, nom.",走入,
Dummorsdos,"dsi, tad, dosdossa, passi. dosdossen, &c.  ja ta, to trail one feet. Padosdos, transit.",拖著腳走路,
Dumpûl,"zi, ta, dûppûlla, dûppûllen, dsinûmpûl. inodûppûllen, to set on fire. Paduppul, transit.",放火,鞥‘
